Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
,,,,WL-JM672,1694,29.03.2023,3012260,1L1,C2T840614,10852,"385/65 R22,5",DURT2,Bridgestone,New,29.03.2023,15.7,,,,,
,,,,WL-JM702,1711,,,,,,,,,New,,,,,,,
,,,,WL-JM704,1713,11.08.2022,2682232,1R1,A7P138417,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.08.2022,15.7,,,,,
,,,,,,,,3L1,H7S142887,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.08.2022,15.7,,,,,
,,,,,,,,3R1,H7S142096,10852,"385/65 R22,5",DURT2,Bridgestone,New,11.08.2022,15.7,,,,,
,,,,WL-JM752,1731,05.09.2022,2718412,1L1,a7p455341,14029,"385/65 R22,5",R168+,Bridgestone,New,05.09.2022,14.0,9.0,,,,
,,,,,,,,1R1,a7p426151,14029,"385/65 R22,5",R168+,Bridgestone,New,05.09.2022,13.0,9.0,,,,
,,,,,,,,2L1,Conti HT3,1536676,"385/55 R22,5",TRAILER,Non Firestone,New,05.09.2022,14.0,9.0,,,,
,,,,,,,,2R1,Michelin XLineT,1536676,"385/55 R22,5",TRAILER,Non Firestone,New,05.09.2022,6.0,9.0,,,,
,,,,,,,,3L1,j7s444009,10850,"385/55 R22,5",DURT2,Bridgestone,New,05.09.2022,15.7,9.0,,,,
,,,,,,,,3R1,Conti HT3,1536676,"385/55 R22,5",TRAILER,Non Firestone,New,05.09.2022,9.0,9.0,,,,
,,,,WL-JM757,1732,,,,,,,,,New,,,,,,,
,,,,WL-JM803,15008,,,,,,,,,New,,,,,,,
,,,,WL-JM813,1756,07.11.2022,2787469,2R1,M2T471144,10852,"385/65 R22,5",DURT2,Bridgestone,New,07.11.2022,15.7,,,,,
,,,,WL-JM843,1760,,,,,,,,,New,,,,,,,
,,,,WL-JM847,15003,,,,,,,,,New,,,,,,,
,,,,WL-JM849,15004,22.03.2023,3119635,3L1,VT79RDK1722,14001,"385/65 R22,5",FT522+,Firestone,New,22.03.2023,14.5,,,,,
,,,,WL-JM850,15005,,,,,,,,,New,,,,,,,
,,,,WL-JM853,15007,,,,,,,,,New,,,,,,,
,,,,WL-JM855,15012,03.04.2023,3046660,2R1,GY/KmaxT/6016902623,1534861,"385/65 R22,5",TRAILER,Michelin,New,03.04.2023,15.0,,,,,
,,,,,,,,3R1,6016936254,1534861,"385/65 R22,5",TRAILER,Michelin,New,03.04.2023,15.0,,,,,
,,,,WL-JM858,15013,,,,,,,,,New,,,,,,,
,,Rostock,Rigid,WL-JM1350,1030,,,,,,,,,New,,,,,,,
,,,,WL-JM1387,1062,19.09.2022,2731050,1L1,G7T128922,16944,"315/70 R22,5",DURS2,Bridgestone,New,19.09.2022,13.1,,,,,
,,,,,,,,1R1,j7s468093,16944,"315/70 R22,5",DURS2,Bridgestone,New,18.07.2022,13.1,8.5,,,,
,,,,WL-JM1389,1064,,,,,,,,,New,,,,,,,
,,,,WL-JM1421,1087,,,,,,,,,New,,,,,,,
,,,,WL-JM1433,1097,,,,,,,,,New,,,,,,,
,,,,WL-JM1468,10051,20.03.2023,2997777,1L1,,1534914,"315/70 R22,5",STEER,Non Firestone,New,04.10.2022,8.0,,,,,
,,,,,,,,1R1,L7T418124,16944,"315/70 R22,5",DURS2,Bridgestone,New,03.03.2023,13.1,9.0,,,,
,,,,,,,,2L1,6150421721 CO HD3,1534913,"315/70 R22,5",DRIVE,Non Firestone,New,20.03.2023,13.0,,,,,
,,,Trailer,D-AL2990,TT029,,,,,,,,,New,,,,,,,
,,,,WL-JM215,1622,,,,,,,,,New,,,,,,,
,,,,WL-JM563,1570,,,,,,,,,New,,,,,,,
,,,,WL-JM696,1707,29.11.2022,2823169,1L1,B7T437984,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.09.2022,15.7,,,,,
,,,,,,,,1R1,D7T158684,10852,"385/65 R22,5",DURT2,Bridgestone,New,29.11.2022,15.7,,,,,
,,,,,,,,2R1,B7T435902,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.09.2022,15.7,,,,,
,,,,,,,,3L1,D7T159376,10852,"385/65 R22,5",DURT2,Bridgestone,New,29.11.2022,15.7,,,,,
,,,,,,,,3R1,B7T4356902,10852,"385/65 R22,5",DURT2,Bridgestone,New,12.09.2022,15.7,,,,,
,,,,WL-JM697,1708,,,,,,,,,New,,,,,,,
,,,,WL-JM846,15001,,,,,,,,,New,,,,,,,
Johs. Martens (GmbH & Co. KG),99013492,Drestedt,Rigid,WL-JM800,5301,,,,,,,,,New,,,,,,,
,,,,WL-JM801,5305,,,,,,,,,New,,,,,,,
,,,,WL-JM1273,1083,,,,,,,,,New,,,,,,,
,,,,WL-JM1277,1461,23.08.2022,2850262,1R1,E7P478454,16944,"315/70 R22,5",DURS2,Bridgestone,New,23.08.2022,13.1,,,,,
,,,,WL-JM1289,1419,,,,,,,,,New,,,,,,,
,,,,WL-JM1290,1420,,,,,,,,,New,,,,,,,
,,,,WL-JM1291,1421,,,,,,,,,New,,,,,,,
,,,,WL-JM1355,1035,05.07.2022,2568365,2L1,900055807,750010,"315/70 R22,5",HD3,Continental,Retread,05.07.2022,11.0,,,,,
,,,,WL-JM1356,1036,18.08.2022,2632399,2L1,B7T456181,16953,"315/70 R22,5",DURD2,Bridgestone,New,18.08.2022,16.6,,,,,
,,,,,,,,2L2,B7T415832,16953,"315/70 R22,5",DURD2,Bridgestone,New,18.08.2022,16.6,,,,,
,,,,,,,,2R1,B7T455923,16953,"315/70 R22,5",DURD2,Bridgestone,New,18.08.2022,16.6,,,,,
,,,,,,,,2R2,B7T415833,16953,"315/70 R22,5",DURD2,Bridgestone,New,18.08.2022,16.6,,,,,
,,,,WL-JM1361,1041,,,,,,,,,New,,,,,,,
,,,,WL-JM1371,1047,,,,,,,,,New,,,,,,,
,,,,WL-JM1373,1049,,,,,,,,,New,,,,,,,
,,,,WL-JM1379,1054,,,,,,,,,New,,,,,,,
,,,,WL-JM1382,1065,,,,,,,,,New,,,,,,,
,,,,WL-JM1383,1058,,,,,,,,,New,,,,,,,
,,,,WL-JM1384,1059,15.05.2023,3093490,1L1,K7T456710,16944,"315/70 R22,5",DURS2,Bridgestone,New,15.05.2023,13.1,,,,,
,,,,WL-JM1401,1074,06.03.2023,2979637,1L1,J7S465425,16944,"315/70 R22,5",DURS2,Bridgestone,New,06.03.2023,13.1,9.0,,,,
,,,,,,,,1R1,J7S465046,16944,"315/70 R22,5",DURS2,Bridgestone,New,06.03.2023,13.1,9.0,,,,
,,,,WL-JM1402,1075,22.08.2022,2625280,1L1,B7T224453,16944,"315/70 R22,5",DURS2,Bridgestone,New,19.07.2022,13.1,9.5,,,,
,,,,,,,,1R1,B7T224503,16944,"315/70 R22,5",DURS2,Bridgestone,New,19.07.2022,13.1,9.5,,,,
,,,,,,,,2L1,C7S366282,16953,"315/70 R22,5",DURD2,Bridgestone,New,22.08.2022,16.6,8.0,,,,
,,,,,,,,2L2,C7S366706,16953,"315/70 R22,5",DURD2,Bridgestone,New,22.08.2022,16.6,8.0,,,,
,,,,WL-JM1404,1077,,,,,,,,,New,,,,,,,
,,,,WL-JM1406,1078,,,,,,,,,New,,,,,,,
,,,,WL-JM1410,1079,,,,,,,,,New,,,,,,,
,,,,WL-JM1411,1080,,,,,,,,,New,,,,,,,
,,,,WL-JM1413,1081,,,,,,,,,New,,,,,,,
,,,,WL-JM1414,1082,22.05.2023,3108095,1L1,H7S164260,16944,"315/70 R22,5",DURS2,Bridgestone,New,22.05.2023,13.1,,,,,
,,,,,,,,1R1,H7S164556,16944,"315/70 R22,5",DURS2,Bridgestone,New,22.05.2023,13.1,,,,,
,,,,,,,,2R1,925210540,10852,"385/65 R22,5",DURT2,Bridgestone,New,24.04.2023,15.7,9.0,,,,
,,,,WL-JM1418,1085,,,,,,,,,New,,,,,,,
,,,,WL-JM1422,2004,,,,,,,,,New,,,,,,,
,,,,WL-JM1423,1088,02.01.2023,2868519,1L1,17R558873,16944,"315/70 R22,5",DURS2,Bridgestone,New,02.01.2023,13.1,9.0,,,,
,,,,,,,,1R1,17R558494,16944,"315/70 R22,5",DURS2,Bridgestone,New,02.01.2023,13.1,9.0,,,,
,,,,WL-JM1425,1089,,,,,,,,,New,,,,,,,
,,,,WL-JM1426,1090,,,,,,,,,New,,,,,,,
,,,,WL-JM1428,1092,12.07.2022,2589204,2L1,B7T427178,16953,"315/70 R22,5",DURD2,Bridgestone,New,12.07.2022,16.6,,,,,
,,,,,,,,2L2,B7T426976,16953,"315/70 R22,5",DURD2,Bridgestone,New,12.07.2022,16.6,,,,,
,,,,,,,,2R1,B7T427233,16953,"315/70 R22,5",DURD2,Bridgestone,New,12.07.2022,16.6,,,,,
,,,,,,,,2R2,B7T427193,16953,"315/70 R22,5",DURD2,Bridgestone,New,12.07.2022,16.6,,,,,
,,,,WL-JM1432,1096,,,,,,,,,New,,,,,,,
,,,,WL-JM1435,1099,,,,,,,,,New,,,,,,,
,,,,WL-JM1437,1100,12.08.2022,2632325,1R1,C7T338988,16944,"315/70 R22,5",DURS2,Bridgestone,New,12.08.2022,13.1,,,,,
,,,,WL-JM1438,1101,,,,,,,,,New,,,,,,,
,,,,WL-JM1441,1104,,,,,,,,,New,,,,,,,
,,,,WL-JM1442,1105,,,,,,,,,New,,,,,,,
,,,,WL-JM1446,10027,30.12.2022,2863462,1R1,f7s335061,13506,"315/70 R22,5",ECOHS2,Bridgestone,New,30.12.2022,10.0,9.0,,,,
,,,,WL-JM1449,10030,,,,,,,,,New,,,,,,,
,,,,WL-JM1450,10031,,,,,,,,,New,,,,,,,
,,,,WL-JM1451,10032,06.03.2023,3024559,1L1,K7T378926,16944,"315/70 R22,5",DURS2,Bridgestone,New,06.03.2023,13.1,,,,,
,,,,,,,,1R1,E7T128440,16944,"315/70 R22,5",DURS2,Bridgestone,New,06.03.2023,13.1,,,,,
,,,,,,,,2L1,E7T138070,16953,"315/70 R22,5",DURD2,Bridgestone,New,14.12.2022,9.9,,,,,
