Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
ST-HS560,,,,,,,,,;;;;;;;;;;;take tires with tread depth 14 for 3 axle
"ST-HS565,2295.0,2023-08-29,1TR,13.0,9.0,385/65R22.5,PIRELLI,IT-T90,""['385/65R22.5', '160K158L', 'IT-T90']""";;;;;;;;;;;take JYT4294E on 1 axle right side
"ST-HS572,2342.0,2023-06-24,3TL,8.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 38032433 for 3 axle left
"ST-HS573,2350.0,2023-08-05,3TL,6.4,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 1934215466 for 1 axle right and 7962710058 for 3 axle right
"ST-HS574,2357.0,2023-10-23,3TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 37780652 for 3 axle left
"ST-HS599,2389.0,2023-08-31,3TR,6.0,6.9,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
ST-HS6566,,,,,,,,,;;;;;;;;;;;leave out line 2466 which doesn´t have tire values
"ST-HS728,2500.0,2023-09-30,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take values from 31.08.2023
"ST-HS739,2538.0,2023-05-13,3TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-HS742,2541.0,2023-08-04,1TR,11.0,9.0,385/65R22.5,PIRELLI,ST:01,""['385/65R22.5', '160K158L', 'ST:01']""";;;;;;;;;;;take SHE85774 for 1 axle right
